,CompressionDistanceMetric,LinearityMetric,LeniencyMetric,SolvabilityMetric,AveragePairWiseDistanceMetric,AveragePairWiseDistanceMetricOnlyPlayable,RLAgentMetric,RLDifficultyMetric,GenerationTime,Files
experiment_102_e_visual_diversity_gridsearch-Maze-DirectGA-dce8ac13c8db706023e38a2b3eb02aa4,0.49233995881569337,0.14379566344791866,0.23951681520896112,0.406,0.4551853226138941,0.27523500309214594,0.21726187710775288,0.7037777777777778,3.00102609170787,../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/100/10/0/True/True/1/seed_1_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_12-18-50.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/100/10/0/True/True/3/seed_3_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_15-33-55.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/100/10/0/True/True/0/seed_0_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_14-41-56.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/100/10/0/True/True/2/seed_2_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_05-53-26.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/100/10/0/True/True/4/seed_4_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_15-28-02.p
experiment_102_e_visual_diversity_gridsearch-Maze-DirectGA-8f281cbe2d2bc0ffeba75cddebb8f522,0.49424743441693286,0.09221842314433155,0.07078310301895423,0.11800000000000002,0.45777551020408164,0.27598021026592456,0.21075292586683658,0.9143030303030303,2.980554953579791,../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/100/10/0.5/True/True/1/seed_1_name_experiment_102_e_visual_diversity_gridsearch_2021-10-01_20-18-37.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/100/10/0.5/True/True/3/seed_3_name_experiment_102_e_visual_diversity_gridsearch_2021-10-01_19-27-26.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/100/10/0.5/True/True/0/seed_0_name_experiment_102_e_visual_diversity_gridsearch_2021-10-01_18-17-37.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/100/10/0.5/True/True/2/seed_2_name_experiment_102_e_visual_diversity_gridsearch_2021-10-01_18-51-49.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/100/10/0.5/True/True/4/seed_4_name_experiment_102_e_visual_diversity_gridsearch_2021-10-01_21-18-39.p
experiment_102_e_visual_diversity_gridsearch-Maze-DirectGA-660fd82a45c32cf30d834019f5d741bd,0.49538474653783204,0.1837783697635959,0.30141180103614695,0.5,0.4923632240775098,0.3315017522160379,0.25524878737394674,0.6343232323232323,1.3164283341942355,../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/10/50/0/True/True/1/seed_1_name_experiment_102_e_visual_diversity_gridsearch_2021-09-29_19-10-44.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/10/50/0/True/True/3/seed_3_name_experiment_102_e_visual_diversity_gridsearch_2021-09-29_20-20-02.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/10/50/0/True/True/0/seed_0_name_experiment_102_e_visual_diversity_gridsearch_2021-09-29_20-03-56.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/10/50/0/True/True/2/seed_2_name_experiment_102_e_visual_diversity_gridsearch_2021-09-29_18-35-45.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/10/50/0/True/True/4/seed_4_name_experiment_102_e_visual_diversity_gridsearch_2021-09-29_20-14-22.p
experiment_102_e_visual_diversity_gridsearch-Maze-DirectGA-ad74b104e5644dcc6de2da0caa6f997f,0.49595908104013553,0.08669266030540629,0.08697653488375592,0.146,0.4935908060193775,0.30262585034013606,0.2324597578789803,0.8983838383838384,1.302771810643375,../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/10/50/0.5/True/True/1/seed_1_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_20-59-38.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/10/50/0.5/True/True/3/seed_3_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_22-45-34.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/10/50/0.5/True/True/0/seed_0_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_20-52-28.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/10/50/0.5/True/True/2/seed_2_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_22-19-53.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/10/50/0.5/True/True/4/seed_4_name_experiment_102_e_visual_diversity_gridsearch_2021-10-01_00-25-38.p
experiment_102_e_visual_diversity_gridsearch-Maze-DirectGA-8324ba33dc1021abd606ea0552e54af5,0.4941764668569547,0.22413519153810083,0.41932536309317464,0.692,0.4892261389404247,0.3863141620284477,0.23148708806502677,0.4892929292929293,2.893190771611408,../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/10/100/0/True/True/1/seed_1_name_experiment_102_e_visual_diversity_gridsearch_2021-09-29_16-35-26.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/10/100/0/True/True/3/seed_3_name_experiment_102_e_visual_diversity_gridsearch_2021-09-29_23-27-01.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/10/100/0/True/True/0/seed_0_name_experiment_102_e_visual_diversity_gridsearch_2021-09-29_17-44-01.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/10/100/0/True/True/2/seed_2_name_experiment_102_e_visual_diversity_gridsearch_2021-09-29_20-44-08.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/10/100/0/True/True/4/seed_4_name_experiment_102_e_visual_diversity_gridsearch_2021-09-29_22-50-22.p
experiment_102_e_visual_diversity_gridsearch-Maze-DirectGA-4183d1173ab7d7c755c2bf3a5d28b872,0.49610048548076396,0.0705067786360592,0.05425487716163645,0.08199999999999999,0.4931900639043496,0.2988703360131931,0.2266558625642059,0.9423636363636364,2.8673495511002836,../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/10/100/0.5/True/True/1/seed_1_name_experiment_102_e_visual_diversity_gridsearch_2021-10-01_02-25-00.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/10/100/0.5/True/True/3/seed_3_name_experiment_102_e_visual_diversity_gridsearch_2021-10-01_05-08-26.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/10/100/0.5/True/True/0/seed_0_name_experiment_102_e_visual_diversity_gridsearch_2021-10-01_02-30-01.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/10/100/0.5/True/True/2/seed_2_name_experiment_102_e_visual_diversity_gridsearch_2021-10-01_07-02-45.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/10/100/0.5/True/True/4/seed_4_name_experiment_102_e_visual_diversity_gridsearch_2021-10-01_07-04-33.p
experiment_102_e_visual_diversity_gridsearch-Maze-DirectGA-5e4a13d44e6e05e9ebd78747aa9bcc18,0.49400925909219806,0.09702775276553949,0.08372745359254477,0.14400000000000002,0.48575200989486705,0.17494537208822922,0.17481483435908837,0.8961010101010102,0.25398325665853916,../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/10/10/0/True/True/1/seed_1_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_00-14-00.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/10/10/0/True/True/3/seed_3_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_02-02-48.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/10/10/0/True/True/0/seed_0_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_01-34-23.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/10/10/0/True/True/2/seed_2_name_experiment_102_e_visual_diversity_gridsearch_2021-09-29_22-16-43.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/10/10/0/True/True/4/seed_4_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_01-19-30.p
experiment_102_e_visual_diversity_gridsearch-Maze-DirectGA-78a3b4fcafa5ba885b21dd67f4e1ad98,0.495570739387888,0.09184122992091653,0.04906790208027613,0.082,0.4746190476190476,0.19668212739641314,0.16835912302502717,0.9399797979797979,0.23567865485139192,../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/10/10/0.5/True/True/1/seed_1_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_23-05-25.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/10/10/0.5/True/True/3/seed_3_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_21-11-36.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/10/10/0.5/True/True/0/seed_0_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_20-27-26.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/10/10/0.5/True/True/2/seed_2_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_21-43-45.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-09-29_12-17-33/10/10/0.5/True/True/4/seed_4_name_experiment_102_e_visual_diversity_gridsearch_2021-09-30_22-20-54.p
experiment_102_e_visual_diversity_gridsearch-Maze-DirectGA-0c2b5a5e37b073b15afa2fc153c26927,0.4940095647474937,0.19659484775139802,0.38587925083380215,0.652,0.4866664605236034,0.36654937126365694,0.23932116402116402,0.5181010101010102,2.8452431330792605,../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-10-02_07-26-46/50/50/1/True/True/1/seed_1_name_experiment_102_e_visual_diversity_gridsearch_2021-10-02_15-16-20.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-10-02_07-26-46/50/50/1/True/True/3/seed_3_name_experiment_102_e_visual_diversity_gridsearch_2021-10-02_15-29-13.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-10-02_07-26-46/50/50/1/True/True/0/seed_0_name_experiment_102_e_visual_diversity_gridsearch_2021-10-02_15-39-59.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-10-02_07-26-46/50/50/1/True/True/2/seed_2_name_experiment_102_e_visual_diversity_gridsearch_2021-10-02_14-33-38.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-10-02_07-26-46/50/50/1/True/True/4/seed_4_name_experiment_102_e_visual_diversity_gridsearch_2021-10-02_15-15-02.p
experiment_102_e_visual_diversity_gridsearch-Maze-DirectGA-ec46444c9eae1cdb6519385bcac3ce33,0.4942436150576886,0.2378021762132687,0.5175312602158032,0.8619999999999999,0.4872195423623995,0.41385013399299114,0.17964367484367486,0.36446464646464644,6.352214016526006,../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-10-02_07-26-46/50/100/1/True/True/1/seed_1_name_experiment_102_e_visual_diversity_gridsearch_2021-10-02_14-38-32.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-10-02_07-26-46/50/100/1/True/True/3/seed_3_name_experiment_102_e_visual_diversity_gridsearch_2021-10-02_15-49-06.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-10-02_07-26-46/50/100/1/True/True/0/seed_0_name_experiment_102_e_visual_diversity_gridsearch_2021-10-02_14-41-42.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-10-02_07-26-46/50/100/1/True/True/2/seed_2_name_experiment_102_e_visual_diversity_gridsearch_2021-10-02_14-48-02.p|../results/experiments/experiment_102_e_visual_diversity_gridsearch/Maze/DirectGA/2021-10-02_07-26-46/50/100/1/True/True/4/seed_4_name_experiment_102_e_visual_diversity_gridsearch_2021-10-02_15-50-48.p
