SMB-w1-l1_131201,0.122494191
SMB-w1-l1_final,0.122494191
SMB-w1-l2_final,0.043917606
SMB-w1-l3_final,0.216623328
SMB-w2-l1_final,0.099841295
SMB-w2-l3_final,0.104259841
SMB-w3-l1_final,0.135505269
SMB-w3-l2_final,0.18416112
SMB-w3-l3_final,0.236936427
SMB-w4-l1_final,0.094744188
SMB-w4-l2_final,0.038583175
SMB-w4-l3_final,0.228906326
SMB-w5-l1_final,0.201725998
SMB-w5-l2_final,0.096274898
SMB-w5-l3_final,0.216623328
SMB-w6-l1_final,0.119084584
SMB-w6-l2_final,0.08256034
SMB-w6-l3_final,0.214029698
SMB-w7-l1_final,0.223416965
SMB-w7-l3_final,0.113775494
SMB-w8-l1_final,0.133320023
SMB-w8-l2_final,0.15167732
SMB-w8-l3_final,0.106443277
