SMB-w1-l1_final,0.037234043
SMB-w1-l2_final,0.141935484
SMB-w1-l3_final,0.795774648
SMB-w2-l1_final,0.063157895
SMB-w2-l3_final,0.91627907
SMB-w3-l1_final,0.121052632
SMB-w3-l2_final,0.030150754
SMB-w3-l3_final,0.907801418
SMB-w4-l1_final,0.069767442
SMB-w4-l2_final,0.1875
SMB-w4-l3_final,0.919708029
SMB-w5-l1_final,0.056410256
SMB-w5-l2_final,0.131578947
SMB-w5-l3_final,0.795774648
SMB-w6-l1_final,0.210227273
SMB-w6-l2_final,0.112612613
SMB-w6-l3_final,0.917197452
SMB-w7-l1_final,0.029585799
SMB-w7-l3_final,0.91627907
SMB-w8-l1_final,0.142076503
SMB-w8-l2_final,0.165048544
SMB-w8-l3_final,0.093137255
